"Date","Open","High","Low","Close"
"01 Sep 2021","2053.7","2055.25","2026.5","2036.15"
"31 Aug 2021","2029.45","2044.05","2024.1","2041.25"
"30 Aug 2021","2000.7","2032.3","2000.35","2027.95"
"27 Aug 2021","1982","1999.2","1978.3","1996.60"
"26 Aug 2021","1996.55","1999.75","1966.2","1977.65"
"25 Aug 2021","1988","2003.6","1985.5","1997.10"
"24 Aug 2021","1967.55","1988.75","1963.95","1979.65"
"23 Aug 2021","1973.55","1977.35","1926.7","1951.85"
"20 Aug 2021","1981.55","1989.05","1954.95","1960.90"
"18 Aug 2021","2029.5","2043.65","2005.95","2009.05"
"17 Aug 2021","2042.45","2048.85","2010.1","2026.65"
"16 Aug 2021","2054.7","2061.8","2036.55","2038.80"
"13 Aug 2021","2064.1","2068.55","2043.9","2054.80"
"12 Aug 2021","2027.6","2067.3","2023.45","2064.35"
"11 Aug 2021","1999.1","2031.15","1994","2027.50"
"10 Aug 2021","2026.15","2026.8","1980.3","1992.00"
"09 Aug 2021","2042.95","2049.45","2016.5","2024.55"
"06 Aug 2021","2041.9","2061.45","2040.1","2044.70"
"05 Aug 2021","2040.5","2045.65","2017.1","2042.20"
"04 Aug 2021","2060.5","2073.5","2041.45","2046.60"
"03 Aug 2021","2048.65","2058","2040.35","2055.65"
"02 Aug 2021","2049","2052.1","2036.35","2045.75"
"30 Jul 2021","2032.4","2059.15","2024.55","2043.00"
"29 Jul 2021","2035.35","2044.15","2019.05","2029.20"
"28 Jul 2021","2040.7","2041.5","2010.1","2029.80"
"27 Jul 2021","2048.35","2055.65","2028.35","2034.80"
"26 Jul 2021","2039","2055.1","2031.4","2042.65"
"23 Jul 2021","2053.35","2059.35","2038.85","2040.60"
"22 Jul 2021","2041.15","2052.5","2029.85","2050.35"
"20 Jul 2021","2052.05","2054.2","2017.75","2020.75"
"19 Jul 2021","2044.25","2061.55","2040.4","2054.65"
"16 Jul 2021","2057.6","2061.75","2050.05","2055.00"
"15 Jul 2021","2073.45","2075.5","2051.3","2053.45"
"14 Jul 2021","2071.45","2083.15","2070.15","2076.30"
"13 Jul 2021","2057.8","2075.45","2054.55","2068.25"
"12 Jul 2021","2055.1","2063.05","2045.8","2048.95"
"09 Jul 2021","2042.75","2052.25","2037.8","2047.90"
"08 Jul 2021","2056.15","2067.9","2037.75","2044.05"
"07 Jul 2021","2049.85","2062.95","2042.85","2060.35"
"06 Jul 2021","2073.9","2085.5","2058.9","2061.35"
"05 Jul 2021","2068.45","2077.7","2063.9","2073.55"
"02 Jul 2021","2074.85","2078.5","2054","2059.20"
"01 Jul 2021","2055.45","2067.1","2044.3","2064.10"
"30 Jun 2021","2067.5","2072.45","2049.35","2052.65"
"29 Jun 2021","2067.4","2078.65","2050.45","2055.95"
"28 Jun 2021","2070.8","2081.65","2064.85","2067.55"
"25 Jun 2021","2068.5","2077.05","2053.15","2059.55"
"24 Jun 2021","2071.25","2071.7","2043.85","2058.00"
"23 Jun 2021","2077.45","2077.5","2050.3","2066.85"
"22 Jun 2021","2054.05","2067.5","2049.6","2056.20"
"21 Jun 2021","1993","2049.4","1986.25","2044.30"
"18 Jun 2021","2072.7","2075","1982.8","2009.95"
"17 Jun 2021","2082.9","2092.75","2050.5","2064.30"
"16 Jun 2021","2105.9","2111.75","2082.4","2094.40"
"15 Jun 2021","2120.55","2125.45","2097.9","2100.20"
"14 Jun 2021","2117.65","2117.65","2059.45","2109.05"
"11 Jun 2021","2096.35","2118.85","2081.65","2108.85"
"10 Jun 2021","2090.35","2098.4","2071.4","2077.75"
"09 Jun 2021","2076.55","2114.8","2059.55","2072.95"
"08 Jun 2021","2084.75","2085.85","2047.1","2059.40"
"07 Jun 2021","2055.95","2078.55","2052.25","2069.05"
"04 Jun 2021","2014.4","2042.05","2014.1","2038.05"
"03 Jun 2021","2001.25","2013.95","1993.6","2008.85"
"02 Jun 2021","1969.65","1990.95","1969.15","1988.10"
"01 Jun 2021","1974.85","1984.6","1964.3","1968.85"
"31 May 2021","1946.45","1960.5","1930.75","1957.40"
"28 May 2021","1965.8","1975.5","1939.4","1943.05"
"27 May 2021","1960","1962.05","1939.95","1950.30"
"26 May 2021","1992.55","1994.75","1952.75","1955.05"
"25 May 2021","2004.6","2012.05","1982.85","1985.35"
"24 May 2021","1975.4","1995.85","1966.65","1987.90"
"21 May 2021","1971.15","1981.35","1966.45","1973.50"
"20 May 2021","1997.45","2003.65","1964.65","1969.00"
"19 May 2021","1994.5","2008.55","1986.55","2003.20"
"18 May 2021","1997.25","2016.35","1990.05","1997.40"
"17 May 2021","1971.6","1980.15","1948.2","1975.75"
"14 May 2021","2025.45","2025.45","1946.65","1962.20"
"12 May 2021","2030.55","2070.6","1984.6","2008.45"
"11 May 2021","1934.3","2017.3","1917.6","2012.65"
"10 May 2021","1892.2","1953.25","1888.3","1946.45"
"07 May 2021","1860.6","1881.55","1849.95","1871.25"
"06 May 2021","1863.3","1866.95","1835","1848.75"
"05 May 2021","1843.5","1861.3","1835.95","1847.15"
"04 May 2021","1825.2","1848.6","1816.95","1824.65"
"03 May 2021","1800.6","1826.55","1788.95","1818.70"
"30 Apr 2021","1776.25","1845.85","1770.85","1813.75"
"29 Apr 2021","1800.3","1806.45","1780.85","1787.30"
"27 Apr 2021","1756.95","1774.95","1756.75","1765.25"
